# x, y, theta, v_l, v_r
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
49.98, 250.12, 1.821, 0.00, 25.02
49.93, 250.27, 1.993, 7.82, 25.02
49.85, 250.40, 2.165, 7.82, 25.02
49.75, 250.50, 2.337, 7.82, 25.02
49.62, 250.59, 2.509, 7.82, 25.02
49.48, 250.65, 2.681, 7.82, 25.02
49.33, 250.69, 2.853, 7.82, 25.02
49.17, 250.69, 3.025, 7.82, 25.02
49.01, 250.67, -3.086, 7.82, 25.02
48.84, 250.62, -2.914, 7.82, 25.02
48.69, 250.54, -2.742, 7.82, 25.02
48.54, 250.44, -2.570, 7.82, 25.02
48.41, 250.32, -2.398, 7.82, 25.02
48.30, 250.18, -2.226, 7.82, 25.02
48.21, 250.02, -2.054, 7.82, 25.02
48.10, 249.80, -2.054, 25.02, 25.02
47.98, 249.58, -2.054, 25.02, 25.02
47.87, 249.36, -2.054, 25.02, 25.02
47.75, 249.14, -2.054, 25.02, 25.02
47.63, 248.92, -2.054, 25.02, 25.02
47.51, 248.64, -1.975, 25.02, 32.84
47.43, 248.51, -2.147, 25.02, 7.82
47.33, 248.40, -2.319, 25.02, 7.82
47.21, 248.31, -2.491, 25.02, 7.82
47.07, 248.25, -2.664, 25.02, 7.82
46.95, 248.23, -2.914, 25.02, 0.00
46.71, 248.18, -2.914, 25.02, 25.02
46.47, 248.12, -2.914, 25.02, 25.02
46.22, 248.06, -2.914, 25.02, 25.02
45.98, 248.01, -2.914, 25.02, 25.02
45.73, 247.95, -2.914, 25.02, 25.02
45.49, 247.89, -2.914, 25.02, 25.02
45.25, 247.84, -2.914, 25.02, 25.02
45.00, 247.78, -2.914, 25.02, 25.02
44.76, 247.72, -2.914, 25.02, 25.02
44.52, 247.67, -2.914, 25.02, 25.02
44.27, 247.61, -2.914, 25.02, 25.02
44.03, 247.56, -2.914, 25.02, 25.02
43.78, 247.50, -2.914, 25.02, 25.02
43.54, 247.44, -2.914, 25.02, 25.02
43.30, 247.39, -2.914, 25.02, 25.02
43.05, 247.33, -2.914, 25.02, 25.02
42.81, 247.27, -2.914, 25.02, 25.02
42.57, 247.22, -2.914, 25.02, 25.02
42.32, 247.16, -2.914, 25.02, 25.02
42.08, 247.10, -2.914, 25.02, 25.02
41.83, 247.05, -2.914, 25.02, 25.02
41.59, 246.99, -2.914, 25.02, 25.02
41.35, 246.93, -2.914, 25.02, 25.02
41.10, 246.88, -2.914, 25.02, 25.02
40.86, 246.82, -2.914, 25.02, 25.02
40.62, 246.76, -2.914, 25.02, 25.02
40.37, 246.71, -2.914, 25.02, 25.02
40.13, 246.65, -2.914, 25.02, 25.02
39.88, 246.59, -2.914, 25.02, 25.02
39.64, 246.54, -2.914, 25.02, 25.02
39.40, 246.48, -2.914, 25.02, 25.02
39.15, 246.42, -2.914, 25.02, 25.02
38.91, 246.37, -2.914, 25.02, 25.02
38.67, 246.31, -2.914, 25.02, 25.02
38.42, 246.26, -2.914, 25.02, 25.02
38.18, 246.20, -2.914, 25.02, 25.02
37.93, 246.14, -2.914, 25.02, 25.02
37.69, 246.09, -2.914, 25.02, 25.02
37.45, 246.03, -2.914, 25.02, 25.02
37.20, 245.97, -2.914, 25.02, 25.02
36.96, 245.92, -2.914, 25.02, 25.02
36.72, 245.86, -2.914, 25.02, 25.02
36.47, 245.80, -2.914, 25.02, 25.02
36.23, 245.75, -2.914, 25.02, 25.02
35.98, 245.69, -2.914, 25.02, 25.02
35.74, 245.63, -2.914, 25.02, 25.02
35.50, 245.58, -2.914, 25.02, 25.02
35.25, 245.52, -2.914, 25.02, 25.02
35.01, 245.46, -2.914, 25.02, 25.02
34.76, 245.41, -2.914, 25.02, 25.02
34.52, 245.35, -2.914, 25.02, 25.02
34.28, 245.29, -2.914, 25.02, 25.02
34.03, 245.24, -2.914, 25.02, 25.02
33.79, 245.18, -2.914, 25.02, 25.02
33.55, 245.12, -2.914, 25.02, 25.02
33.30, 245.07, -2.914, 25.02, 25.02
33.06, 245.01, -2.914, 25.02, 25.02
32.81, 244.96, -2.914, 25.02, 25.02
32.57, 244.90, -2.914, 25.02, 25.02
32.33, 244.84, -2.914, 25.02, 25.02
32.08, 244.79, -2.914, 25.02, 25.02
31.84, 244.73, -2.914, 25.02, 25.02
31.60, 244.67, -2.914, 25.02, 25.02
31.35, 244.62, -2.914, 25.02, 25.02
31.11, 244.56, -2.914, 25.02, 25.02
30.86, 244.50, -2.914, 25.02, 25.02
30.62, 244.45, -2.914, 25.02, 25.02
30.38, 244.39, -2.914, 25.02, 25.02
30.13, 244.33, -2.914, 25.02, 25.02
29.89, 244.28, -2.914, 25.02, 25.02
29.65, 244.22, -2.914, 25.02, 25.02
29.40, 244.16, -2.914, 25.02, 25.02
29.16, 244.11, -2.914, 25.02, 25.02
28.91, 244.05, -2.914, 25.02, 25.02
28.67, 243.99, -2.914, 25.02, 25.02
28.43, 243.94, -2.914, 25.02, 25.02
28.18, 243.88, -2.914, 25.02, 25.02
27.94, 243.82, -2.914, 25.02, 25.02
27.70, 243.77, -2.914, 25.02, 25.02
27.45, 243.71, -2.914, 25.02, 25.02
27.21, 243.66, -2.914, 25.02, 25.02
26.96, 243.60, -2.914, 25.02, 25.02
26.72, 243.54, -2.914, 25.02, 25.02
26.48, 243.49, -2.914, 25.02, 25.02
26.23, 243.43, -2.914, 25.02, 25.02
25.99, 243.37, -2.914, 25.02, 25.02
25.75, 243.32, -2.914, 25.02, 25.02
25.50, 243.26, -2.914, 25.02, 25.02
25.26, 243.20, -2.914, 25.02, 25.02
25.01, 243.15, -2.914, 25.02, 25.02
24.77, 243.09, -2.914, 25.02, 25.02
24.53, 243.03, -2.914, 25.02, 25.02
24.28, 242.98, -2.914, 25.02, 25.02
24.04, 242.92, -2.914, 25.02, 25.02
23.79, 242.86, -2.914, 25.02, 25.02
23.55, 242.81, -2.914, 25.02, 25.02
23.31, 242.75, -2.914, 25.02, 25.02
23.06, 242.69, -2.914, 25.02, 25.02
22.82, 242.64, -2.914, 25.02, 25.02
22.58, 242.58, -2.914, 25.02, 25.02
22.33, 242.52, -2.914, 25.02, 25.02
22.09, 242.47, -2.914, 25.02, 25.02
21.84, 242.41, -2.914, 25.02, 25.02
21.60, 242.36, -2.914, 25.02, 25.02
21.36, 242.30, -2.914, 25.02, 25.02
21.11, 242.24, -2.914, 25.02, 25.02
20.87, 242.19, -2.914, 25.02, 25.02
20.63, 242.13, -2.914, 25.02, 25.02
20.38, 242.07, -2.914, 25.02, 25.02
20.14, 242.02, -2.914, 25.02, 25.02
19.89, 241.96, -2.914, 25.02, 25.02
19.65, 241.90, -2.914, 25.02, 25.02
19.41, 241.85, -2.914, 25.02, 25.02
19.16, 241.79, -2.914, 25.02, 25.02
18.92, 241.73, -2.914, 25.02, 25.02
18.68, 241.68, -2.914, 25.02, 25.02
18.43, 241.62, -2.914, 25.02, 25.02
18.19, 241.56, -2.914, 25.02, 25.02
17.94, 241.51, -2.914, 25.02, 25.02
17.70, 241.45, -2.914, 25.02, 25.02
17.46, 241.39, -2.914, 25.02, 25.02
17.21, 241.34, -2.914, 25.02, 25.02
16.97, 241.28, -2.914, 25.02, 25.02
16.73, 241.22, -2.914, 25.02, 25.02
16.48, 241.17, -2.914, 25.02, 25.02
16.24, 241.11, -2.914, 25.02, 25.02
15.99, 241.06, -2.914, 25.02, 25.02
15.75, 241.00, -2.914, 25.02, 25.02
15.51, 240.94, -2.914, 25.02, 25.02
15.26, 240.89, -2.914, 25.02, 25.02
15.02, 240.83, -2.914, 25.02, 25.02
14.78, 240.77, -2.914, 25.02, 25.02
14.53, 240.72, -2.914, 25.02, 25.02
14.29, 240.66, -2.914, 25.02, 25.02
14.04, 240.60, -2.914, 25.02, 25.02
13.80, 240.55, -2.914, 25.02, 25.02
13.56, 240.49, -2.914, 25.02, 25.02
13.31, 240.43, -2.914, 25.02, 25.02
13.07, 240.38, -2.914, 25.02, 25.02
12.82, 240.32, -2.914, 25.02, 25.02
12.58, 240.26, -2.914, 25.02, 25.02
12.34, 240.21, -2.914, 25.02, 25.02
12.09, 240.15, -2.914, 25.02, 25.02
11.85, 240.09, -2.914, 25.02, 25.02
11.61, 240.04, -2.914, 25.02, 25.02
11.36, 239.98, -2.914, 25.02, 25.02
11.12, 239.92, -2.914, 25.02, 25.02
10.87, 239.87, -2.914, 25.02, 25.02
10.63, 239.81, -2.914, 25.02, 25.02
10.39, 239.76, -2.914, 25.02, 25.02
10.14, 239.70, -2.914, 25.02, 25.02
9.90, 239.64, -2.914, 25.02, 25.02
9.62, 239.54, -2.836, 25.02, 32.84
9.46, 239.54, -3.008, 25.02, 7.82
9.30, 239.56, 3.104, 25.02, 7.82
9.26, 239.55, -3.101, 0.00, 7.82
9.22, 239.55, -3.023, 0.00, 7.82
9.18, 239.54, -2.945, 0.00, 7.82
9.14, 239.53, -2.867, 0.00, 7.82
9.10, 239.51, -2.789, 0.00, 7.82
9.07, 239.49, -2.710, 0.00, 7.82
9.03, 239.47, -2.632, 0.00, 7.82
9.00, 239.45, -2.554, 0.00, 7.82
8.97, 239.42, -2.476, 0.00, 7.82
8.94, 239.40, -2.398, 0.00, 7.82
8.91, 239.37, -2.319, 0.00, 7.82
8.89, 239.33, -2.241, 0.00, 7.82
8.86, 239.30, -2.163, 0.00, 7.82
8.84, 239.27, -2.085, 0.00, 7.82
8.82, 239.23, -2.007, 0.00, 7.82
8.81, 239.19, -1.928, 0.00, 7.82
8.81, 239.19, -1.928, 0.00, 0.00
8.78, 239.06, -1.678, 0.00, 25.02
8.78, 238.94, -1.428, 0.00, 25.02
8.82, 238.69, -1.428, 25.02, 25.02
8.85, 238.44, -1.428, 25.02, 25.02
8.89, 238.20, -1.428, 25.02, 25.02
8.93, 237.95, -1.428, 25.02, 25.02
8.96, 237.70, -1.428, 25.02, 25.02
9.00, 237.45, -1.428, 25.02, 25.02
9.03, 237.21, -1.428, 25.02, 25.02
9.07, 236.96, -1.428, 25.02, 25.02
9.10, 236.71, -1.428, 25.02, 25.02
9.14, 236.46, -1.428, 25.02, 25.02
9.17, 236.22, -1.428, 25.02, 25.02
9.21, 235.97, -1.428, 25.02, 25.02
9.25, 235.72, -1.428, 25.02, 25.02
9.28, 235.47, -1.428, 25.02, 25.02
9.32, 235.22, -1.428, 25.02, 25.02
9.35, 234.98, -1.428, 25.02, 25.02
9.39, 234.73, -1.428, 25.02, 25.02
9.42, 234.48, -1.428, 25.02, 25.02
9.46, 234.23, -1.428, 25.02, 25.02
9.50, 233.99, -1.428, 25.02, 25.02
9.53, 233.74, -1.428, 25.02, 25.02
9.57, 233.49, -1.428, 25.02, 25.02
9.60, 233.24, -1.428, 25.02, 25.02
9.64, 233.00, -1.428, 25.02, 25.02
9.67, 232.75, -1.428, 25.02, 25.02
9.71, 232.50, -1.428, 25.02, 25.02
9.74, 232.25, -1.428, 25.02, 25.02
9.78, 232.00, -1.428, 25.02, 25.02
9.82, 231.76, -1.428, 25.02, 25.02
9.85, 231.51, -1.428, 25.02, 25.02
9.89, 231.26, -1.428, 25.02, 25.02
9.92, 231.01, -1.428, 25.02, 25.02
9.96, 230.77, -1.428, 25.02, 25.02
9.99, 230.52, -1.428, 25.02, 25.02
10.03, 230.27, -1.428, 25.02, 25.02
10.07, 230.02, -1.428, 25.02, 25.02
10.10, 229.78, -1.428, 25.02, 25.02
10.14, 229.53, -1.428, 25.02, 25.02
10.17, 229.28, -1.428, 25.02, 25.02
10.21, 229.03, -1.428, 25.02, 25.02
10.24, 228.78, -1.428, 25.02, 25.02
10.28, 228.54, -1.428, 25.02, 25.02
10.31, 228.29, -1.428, 25.02, 25.02
10.35, 228.04, -1.428, 25.02, 25.02
10.39, 227.79, -1.428, 25.02, 25.02
10.42, 227.55, -1.428, 25.02, 25.02
10.46, 227.30, -1.428, 25.02, 25.02
10.49, 227.05, -1.428, 25.02, 25.02
10.53, 226.80, -1.428, 25.02, 25.02
10.56, 226.56, -1.428, 25.02, 25.02
10.60, 226.31, -1.428, 25.02, 25.02
10.64, 226.06, -1.428, 25.02, 25.02
10.69, 225.78, -1.350, 25.02, 32.84
10.71, 225.61, -1.522, 25.02, 7.82
10.70, 225.45, -1.694, 25.02, 7.82
10.67, 225.30, -1.866, 25.02, 7.82
10.61, 225.15, -2.038, 25.02, 7.82
10.52, 225.03, -2.210, 25.02, 7.82
10.41, 224.93, -2.382, 25.02, 7.82
10.29, 224.84, -2.554, 25.02, 7.82
10.14, 224.79, -2.726, 25.02, 7.82
9.99, 224.76, -2.898, 25.02, 7.82
9.82, 224.77, -3.070, 25.02, 7.82
9.66, 224.80, 3.041, 25.02, 7.82
9.50, 224.85, 2.869, 25.02, 7.82
9.35, 224.94, 2.697, 25.02, 7.82
9.31, 224.95, 2.775, 0.00, 7.82
9.27, 224.96, 2.853, 0.00, 7.82
9.24, 224.97, 2.931, 0.00, 7.82
9.20, 224.97, 3.010, 0.00, 7.82
9.16, 224.97, 3.088, 0.00, 7.82
9.12, 224.97, -3.117, 0.00, 7.82
9.08, 224.96, -3.039, 0.00, 7.82
9.04, 224.96, -2.961, 0.00, 7.82
9.00, 224.94, -2.882, 0.00, 7.82
8.97, 224.93, -2.804, 0.00, 7.82
8.93, 224.91, -2.726, 0.00, 7.82
8.89, 224.89, -2.648, 0.00, 7.82
8.86, 224.87, -2.570, 0.00, 7.82
8.83, 224.84, -2.491, 0.00, 7.82
8.80, 224.82, -2.413, 0.00, 7.82
8.77, 224.79, -2.335, 0.00, 7.82
8.74, 224.76, -2.257, 0.00, 7.82
8.72, 224.72, -2.179, 0.00, 7.82
8.70, 224.69, -2.100, 0.00, 7.82
8.68, 224.65, -2.022, 0.00, 7.82
8.67, 224.62, -1.944, 0.00, 7.82
8.65, 224.58, -1.866, 0.00, 7.82
8.64, 224.54, -1.788, 0.00, 7.82
8.64, 224.50, -1.709, 0.00, 7.82
8.63, 224.46, -1.631, 0.00, 7.82
8.63, 224.42, -1.553, 0.00, 7.82
8.63, 224.38, -1.475, 0.00, 7.82
8.63, 224.38, -1.475, 0.00, 0.00
8.66, 224.27, -1.225, 0.00, 25.02
8.72, 224.17, -0.974, 0.00, 25.02
8.86, 223.96, -0.974, 25.02, 25.02
9.00, 223.76, -0.974, 25.02, 25.02
9.14, 223.55, -0.974, 25.02, 25.02
9.28, 223.34, -0.974, 25.02, 25.02
9.42, 223.14, -0.974, 25.02, 25.02
9.56, 222.93, -0.974, 25.02, 25.02
9.70, 222.72, -0.974, 25.02, 25.02
9.84, 222.52, -0.974, 25.02, 25.02
9.98, 222.31, -0.974, 25.02, 25.02
10.12, 222.10, -0.974, 25.02, 25.02
10.20, 221.94, -1.146, 25.02, 7.82
10.26, 221.78, -1.318, 25.02, 7.82
10.28, 221.61, -1.490, 25.02, 7.82
10.28, 221.45, -1.663, 25.02, 7.82
10.25, 221.29, -1.835, 25.02, 7.82
10.20, 221.15, -2.007, 25.02, 7.82
10.12, 221.02, -2.179, 25.02, 7.82
10.01, 220.91, -2.351, 25.02, 7.82
9.89, 220.83, -2.523, 25.02, 7.82
9.86, 220.80, -2.445, 0.00, 7.82
9.83, 220.77, -2.366, 0.00, 7.82
9.80, 220.74, -2.288, 0.00, 7.82
9.78, 220.71, -2.210, 0.00, 7.82
9.75, 220.68, -2.132, 0.00, 7.82
9.73, 220.64, -2.054, 0.00, 7.82
9.72, 220.60, -1.975, 0.00, 7.82
9.64, 220.47, -2.147, 25.02, 7.82
9.54, 220.36, -2.319, 25.02, 7.82
9.42, 220.27, -2.491, 25.02, 7.82
9.28, 220.21, -2.664, 25.02, 7.82
9.13, 220.17, -2.836, 25.02, 7.82
8.97, 220.16, -3.008, 25.02, 7.82
8.80, 220.18, 3.104, 25.02, 7.82
8.64, 220.23, 2.931, 25.02, 7.82
8.48, 220.31, 2.759, 25.02, 7.82
8.34, 220.40, 2.587, 25.02, 7.82
8.21, 220.52, 2.415, 25.02, 7.82
8.09, 220.66, 2.243, 25.02, 7.82
8.00, 220.82, 2.071, 25.02, 7.82
7.98, 220.85, 2.149, 0.00, 7.82
7.96, 220.88, 2.228, 0.00, 7.82
7.93, 220.91, 2.306, 0.00, 7.82
7.93, 220.91, 2.306, 0.00, 0.00
7.93, 220.91, 2.306, 0.00, 0.00
7.91, 220.94, 2.228, 7.82, 0.00
7.89, 220.97, 2.149, 7.82, 0.00
7.87, 221.01, 2.071, 7.82, 0.00
7.85, 221.04, 1.993, 7.82, 0.00
7.83, 221.08, 1.915, 7.82, 0.00
7.82, 221.12, 1.837, 7.82, 0.00
7.81, 221.16, 1.758, 7.82, 0.00
7.81, 221.20, 1.680, 7.82, 0.00
7.81, 221.24, 1.602, 7.82, 0.00
7.81, 221.27, 1.524, 7.82, 0.00
7.81, 221.31, 1.446, 7.82, 0.00
7.82, 221.35, 1.367, 7.82, 0.00
7.82, 221.39, 1.289, 7.82, 0.00
7.84, 221.42, 1.211, 7.82, 0.00
7.85, 221.46, 1.133, 7.82, 0.00
7.87, 221.49, 1.055, 7.82, 0.00
7.89, 221.52, 0.976, 7.82, 0.00
7.91, 221.55, 0.898, 7.82, 0.00
7.94, 221.58, 0.820, 7.82, 0.00
7.97, 221.61, 0.742, 7.82, 0.00
8.00, 221.63, 0.664, 7.82, 0.00
8.03, 221.65, 0.585, 7.82, 0.00
8.06, 221.67, 0.507, 7.82, 0.00
8.10, 221.68, 0.429, 7.82, 0.00
8.24, 221.79, 0.601, 7.82, 25.02
8.37, 221.91, 0.773, 7.82, 25.02
8.47, 222.06, 0.945, 7.82, 25.02
8.56, 222.21, 1.117, 7.82, 25.02
8.62, 222.37, 1.289, 7.82, 25.02
8.65, 222.54, 1.461, 7.82, 25.02
8.65, 222.71, 1.633, 7.82, 25.02
8.63, 222.86, 1.805, 7.82, 25.02
8.58, 223.01, 1.977, 7.82, 25.02
